popularity,acousticness,danceability,loudness,tempo,key,,,popround,acouround,danceround,loudround,temporound,key
52.14285714,0.002160643,0.492285714,-3.833428571,120.986,1,,,52.143,0.002,0.492,-3.833,120.986,1
48.66666667,0.000224667,0.429666667,-4.866,139.7843333,6,,,48.667,0,0.43,-4.866,139.784,6
38,0.0217,0.815,-10.283,119.029,11,,,38,0.022,0.815,-10.283,119.029,11
0,0.8965,0.5335,-9.818,93.3165,1,,,0,0.897,0.534,-9.818,93.317,1
61,0.804,0.295,-16.632,150.454,4,,,61,0.804,0.295,-16.632,150.454,4
48.8,0.09696,0.7108,-5.8206,85.612,11,,,48.8,0.097,0.711,-5.821,85.612,11
5,0.979,0.83,-13.366,106.533,8,,,5,0.979,0.83,-13.366,106.533,8
47,0.128,0.722,-5.601,118.804,1,,,47,0.128,0.722,-5.601,118.804,1
28,0.599,0.581,-15.327,145.918,7,,,28,0.599,0.581,-15.327,145.918,7
62.375,0.47075,0.64475,-6.509375,102.9085,8,,,62.375,0.471,0.645,-6.509,102.909,8
32.0625,0.004174669,0.431125,-7.475875,107.364375,2,,,32.063,0.004,0.431,-7.476,107.364,2
0,0.9846,0.4192,-19.4296,101.6,7,,,0,0.985,0.419,-19.43,101.6,7
0,0.966,0.398,-13.793,81.39,1,,,0,0.966,0.398,-13.793,81.39,1
0.666666667,0.943777778,0.696222222,-17.80266667,114.419,4,,,0.667,0.944,0.696,-17.803,114.419,4
33,0.125,0.686,-9.03,101.66,7,,,33,0.125,0.686,-9.03,101.66,7
0,0.93688,0.30916,-16.35548,110.95008,3,,,0,0.937,0.309,-16.355,110.95,3
0,0.946666667,0.3375,-17.32083333,89.32833333,7,,,0,0.947,0.338,-17.321,89.328,7
5.939393939,0.879969697,0.314869697,-19.52036364,113.9180303,8,,,5.939,0.88,0.315,-19.52,113.918,8
0.666666667,0.888666667,0.511833333,-15.19733333,86.46283333,5,,,0.667,0.889,0.512,-15.197,86.463,5
21,0.887166667,0.284666667,-20.84033333,96.17683333,3,,,21,0.887,0.285,-20.84,96.177,3
0,0.9875,0.487333333,-13.9935,96.75116667,7,,,0,0.988,0.487,-13.994,96.751,7
51,0.945,0.141,-37.571,140.372,2,,,51,0.945,0.141,-37.571,140.372,2
3,0.0747,0.579,-6.05,150.003,9,,,3,0.075,0.579,-6.05,150.003,9
0,0.961333333,0.505,-10.405,116.0903333,4,,,0,0.961,0.505,-10.405,116.09,4
16,0.0757,0.764,-10.295,96.114,1,,,16,0.076,0.764,-10.295,96.114,1
61,0.000926,0.855,-2.574,127.989,9,,,61,0.001,0.855,-2.574,127.989,9
49,0.469,0.472,-6.215,86.571,2,,,49,0.469,0.472,-6.215,86.571,2
59,0.0472,0.849,-6.365,102.014,4,,,59,0.047,0.849,-6.365,102.014,4
38,0.17625,0.6585,-7.95125,140.28975,9,,,38,0.176,0.659,-7.951,140.29,9
57,0.839,0.458,-8.505,86.945,9,,,57,0.839,0.458,-8.505,86.945,9
35.625,0.8395,0.42175,-15.20775,122.915875,7,,,35.625,0.84,0.422,-15.208,122.916,7
0,0.662,0.715,-2.899,107.091,2,,,0,0.662,0.715,-2.899,107.091,2
48,0.971,0.441,-17.787,139.803,1,,,48,0.971,0.441,-17.787,139.803,1
12,0.991,0.318,-13.721,104.139,1,,,12,0.991,0.318,-13.721,104.139,1
83,0.894,0.522,-18.717,109.986,4,,,83,0.894,0.522,-18.717,109.986,4
53,0.628,0.632,-6.328,81.966,0,,,53,0.628,0.632,-6.328,81.966,0
33,0.884,0.579,-21.166,118.992,8,,,33,0.884,0.579,-21.166,118.992,8
50,0.937,0.444,-13.476,154.857,1,,,50,0.937,0.444,-13.476,154.857,1
46,0.906,0.31,-17.338,129.938,2,,,46,0.906,0.31,-17.338,129.938,2
0,0.991,0.39,-15.216,96.6,6,,,0,0.991,0.39,-15.216,96.6,6
44.66666667,0.397333333,0.757666667,-11.78333333,108.0333333,8,,,44.667,0.397,0.758,-11.783,108.033,8
68.33333333,0.385,0.793,-5.986666667,107.6663333,7,,,68.333,0.385,0.793,-5.987,107.666,7
0,0.962555556,0.618444444,-17.958,103.974,9,,,0,0.963,0.618,-17.958,103.974,9
0,0.963333333,0.608833333,-11.13066667,110.1221667,7,,,0,0.963,0.609,-11.131,110.122,7
31,0.182,0.809,-10.875,112.688,8,,,31,0.182,0.809,-10.875,112.688,8
53.5,0.017245,0.5695,-4.82,136.4995,9,,,53.5,0.017,0.57,-4.82,136.5,9
63,0.856,0.58175,-15.284,109.2725,7,,,63,0.856,0.582,-15.284,109.273,7
49,0.528,0.431,-5.797,139.438,2,,,49,0.528,0.431,-5.797,139.438,2
0,0.0912,0.636,-9.192,105.994,1,,,0,0.091,0.636,-9.192,105.994,1
51.2,0.14656,0.84,-7.0498,106.211,9,,,51.2,0.147,0.84,-7.05,106.211,9
63,0.0445,0.573,-4.132,170.007,2,,,63,0.045,0.573,-4.132,170.007,2
41.34166667,0.079990739,0.446933333,-7.641616667,128.49495,9,,,41.342,0.08,0.447,-7.642,128.495,9
0,0.00324,0.774,-11.074,135.981,1,,,0,0.003,0.774,-11.074,135.981,1
42.54545455,0.221072727,0.691727273,-7.692545455,108.4061364,2,,,42.545,0.221,0.692,-7.693,108.406,2
0,0.9945,0.3945,-11.336,149.181,7,,,0,0.995,0.395,-11.336,149.181,7
58,0.682,0.776,-10.094,97.486,8,,,58,0.682,0.776,-10.094,97.486,8
63,0.0261,0.724,-0.354,92.478,1,,,63,0.026,0.724,-0.354,92.478,1
44,0.382,0.567,-6.493,93.668,10,,,44,0.382,0.567,-6.493,93.668,10
0,0.0105,0.856,-3.071,122.985,0,,,0,0.011,0.856,-3.071,122.985,0
42,0.388,0.712,-5.115,131.812,2,,,42,0.388,0.712,-5.115,131.812,2
40.5,0.04965,0.86675,-7.31225,125.543,6,,,40.5,0.05,0.867,-7.312,125.543,6
65,0.0206,0.966,-6.392,108.011,2,,,65,0.021,0.966,-6.392,108.011,2
42,0.0489,0.637,-7.29,99.008,11,,,42,0.049,0.637,-7.29,99.008,11
52,0.354,0.591,-11.801,136.568,2,,,52,0.354,0.591,-11.801,136.568,2
50.90909091,0.096509091,0.710909091,-4.485181818,124.5365455,7,,,50.909,0.097,0.711,-4.485,124.537,7
53.375,0.1913625,0.8705,-8.286875,128.117375,7,,,53.375,0.191,0.871,-8.287,128.117,7
25.66666667,0.174,0.733,-5.840666667,97.02566667,4,,,25.667,0.174,0.733,-5.841,97.026,4
0,0.984,0.441,-10.552,67.74,5,,,0,0.984,0.441,-10.552,67.74,5
40.3,0.139,0.6855,-9.2334,112.9209,8,,,40.3,0.139,0.686,-9.233,112.921,8
50,0.002115983,0.468666667,-4.894666667,124.542,6,,,50,0.002,0.469,-4.895,124.542,6
48,0.184545,0.6915,-7.835,121.0955,7,,,48,0.185,0.692,-7.835,121.096,7
57,0.214,0.842,-3.731,90.312,10,,,57,0.214,0.842,-3.731,90.312,10
0,0.948,0.5055,-7.676,96.463,2,,,0,0.948,0.506,-7.676,96.463,2
49,0.00793,0.383,-3.056,96.608,11,,,49,0.008,0.383,-3.056,96.608,11
49.5,0.143368517,0.517666667,-5.5805,127.7963333,0,,,49.5,0.143,0.518,-5.581,127.796,0
77,0.059906667,0.466666667,-5.769666667,145.0246667,4,,,77,0.06,0.467,-5.77,145.025,4
0,0.766,0.39,-6.044,107.372,1,,,0,0.766,0.39,-6.044,107.372,1
70,0.85,0.306,-15.551,174.053,0,,,70,0.85,0.306,-15.551,174.053,0
59,0.994,0.33,-34.638,85.067,5,,,59,0.994,0.33,-34.638,85.067,5
0,0.9908,0.4402,-10.1612,71.3432,7,,,0,0.991,0.44,-10.161,71.343,7
36.4,0.17004856,0.298866667,-8.661066667,157.1668667,4,,,36.4,0.17,0.299,-8.661,157.167,4
34,2.52E-06,0.123,-2.727,191.533,7,,,34,0,0.123,-2.727,191.533,7
0,0.9928,0.4922,-15.7238,98.1468,3,,,0,0.993,0.492,-15.724,98.147,3
62,0.00645,0.621,-3.124,127.973,2,,,62,0.006,0.621,-3.124,127.973,2
36.5,0.9745,0.294,-19.6075,98.0515,2,,,36.5,0.975,0.294,-19.608,98.052,2
0,0.920666667,0.281,-11.72833333,113.6776667,2,,,0,0.921,0.281,-11.728,113.678,2
20,0.7755,0.531,-11.5485,108.4935,2,,,20,0.776,0.531,-11.549,108.494,2
52,0.959,0.439,-20.299,116.8325,9,,,52,0.959,0.439,-20.299,116.833,9
21.75,0.79175,0.477,-12.9195,102.715,7,,,21.75,0.792,0.477,-12.92,102.715,7
43.33333333,0.0594,0.595666667,-16.45,102.6436667,2,,,43.333,0.059,0.596,-16.45,102.644,2
45,0.99,0.118,-22.065,75.93,10,,,45,0.99,0.118,-22.065,75.93,10
36.66666667,0.0053022,0.266333333,-6.245,131.5473333,4,,,36.667,0.005,0.266,-6.245,131.547,4
31,0.0452,0.936,-5.902,125.996,0,,,31,0.045,0.936,-5.902,125.996,0
57,0.391,0.761,-11.7,102.004,9,,,57,0.391,0.761,-11.7,102.004,9
32,0.0026,0.272,-6.896,85.399,0,,,32,0.003,0.272,-6.896,85.399,0
3,0.105,0.591,-11.876,153.377,11,,,3,0.105,0.591,-11.876,153.377,11
67.16666667,0.009499667,0.578666667,-4.358,114.8205,8,,,67.167,0.009,0.579,-4.358,114.821,8
0,0.9545,0.6055,-14.5605,105.084,11,,,0,0.955,0.606,-14.561,105.084,11
35.33333333,0.979333333,0.358,-28.97833333,101.5473333,11,,,35.333,0.979,0.358,-28.978,101.547,11
0.086956522,0.97234058,0.711094203,-11.41024638,125.3093551,4,,,0.087,0.972,0.711,-11.41,125.309,4
28,0.887875,0.457375,-13.717,108.397875,9,,,28,0.888,0.457,-13.717,108.398,9
42,0.973,0.137,-34.939,70.372,9,,,42,0.973,0.137,-34.939,70.372,9
0,0.7585,0.435,-13.861,123.304,9,,,0,0.759,0.435,-13.861,123.304,9
18.18421053,0.820543421,0.588184211,-18.53327632,105.7580658,0,,,18.184,0.821,0.588,-18.533,105.758,0
16.4,0.6272,0.573,-15.9724,114.0906,5,,,16.4,0.627,0.573,-15.972,114.091,5
23,0.664822222,0.535511111,-18.36577778,111.3269556,7,,,23,0.665,0.536,-18.366,111.327,7
44.5,0.20245,0.663,-6.9535,118.587,10,,,44.5,0.202,0.663,-6.954,118.587,10
8,0.894,0.309,-15.61,95.666,1,,,8,0.894,0.309,-15.61,95.666,1
0,0.989666667,0.393,-7.883333333,81.648,7,,,0,0.99,0.393,-7.883,81.648,7
0,0.995,0.526,-8.594,180.85,8,,,0,0.995,0.526,-8.594,180.85,8
0,0.995,0.395,-12.175,68.446,11,,,0,0.995,0.395,-12.175,68.446,11
60,0.911,0.591,-16.167,109.755,7,,,60,0.911,0.591,-16.167,109.755,7
0,0.991,0.37,-9.533,91.85,7,,,0,0.991,0.37,-9.533,91.85,7
0,0.00216,0.809,-8.736,120.011,4,,,0,0.002,0.809,-8.736,120.011,4
37,0.550333333,0.597333333,-11.99433333,130.0223333,10,,,37,0.55,0.597,-11.994,130.022,10
46,1.37E-05,0.379,-3.754,119.991,8,,,46,0,0.379,-3.754,119.991,8
73,0.890333333,0.488666667,-15.16733333,132.135,3,,,73,0.89,0.489,-15.167,132.135,3
52,0.036337143,0.787571429,-7.193,101.1422857,9,,,52,0.036,0.788,-7.193,101.142,9
45,0.21,0.804,-5.612,94.994,1,,,45,0.21,0.804,-5.612,94.994,1
44.33333333,0.3728,0.578,-10.21616667,125.1596667,10,,,44.333,0.373,0.578,-10.216,125.16,10
62,0.00307,0.365,-5.912,171.08,5,,,62,0.003,0.365,-5.912,171.08,5
63,0.302,0.738,-7.967,143.991,11,,,63,0.302,0.738,-7.967,143.991,11
25,0.989,0.486,-19.898,99.741,2,,,25,0.989,0.486,-19.898,99.741,2
44,0.442131724,0.472896552,-10.24996552,120.9922069,2,,,44,0.442,0.473,-10.25,120.992,2
49.91428571,0.455085714,0.452514286,-10.85925714,122.2931429,5,,,49.914,0.455,0.453,-10.859,122.293,5
57,0.126,0.621,-5.529,112.067,4,,,57,0.126,0.621,-5.529,112.067,4
60.66666667,0.001394167,0.56,-4.264,124.354,10,,,60.667,0.001,0.56,-4.264,124.354,10
47,0.000256,0.187,-6.332,104.974,11,,,47,0,0.187,-6.332,104.974,11
30.33333333,0.349333333,0.595666667,-12.811,94.01433333,5,,,30.333,0.349,0.596,-12.811,94.014,5
65,0.963,0.255,-20.562,139.642,6,,,65,0.963,0.255,-20.562,139.642,6
62,0.987,0.484,-14.991,144.589,0,,,62,0.987,0.484,-14.991,144.589,0
68,0.0435,0.639,-4.905,126.946,0,,,68,0.044,0.639,-4.905,126.946,0
0,0.993,0.786,-8.914,121.788,11,,,0,0.993,0.786,-8.914,121.788,11
0,0.01635,0.7905,-9.4365,92.035,10,,,0,0.016,0.791,-9.437,92.035,10
50,0.935,0.193,-23.482,107.44,4,,,50,0.935,0.193,-23.482,107.44,4
68,0.0276,0.656,-7.031,135.044,7,,,68,0.028,0.656,-7.031,135.044,7
0,0.394,0.7585,-5.644,111.522,10,,,0,0.394,0.759,-5.644,111.522,10
62,0.655,0.565,-6.629,180.598,10,,,62,0.655,0.565,-6.629,180.598,10
44,0.5645,0.5375,-3.8685,124.386,10,,,44,0.565,0.538,-3.869,124.386,10
41.5,0.04645,0.645,-5.5715,81.443,7,,,41.5,0.046,0.645,-5.572,81.443,7
35,0.00461,0.706,-10.577,107.298,0,,,35,0.005,0.706,-10.577,107.298,0
44,0.65832425,0.357625,-13.49775,118.774375,11,,,44,0.658,0.358,-13.498,118.774,11
32,0.91,0.614,-17.335,103.695,10,,,32,0.91,0.614,-17.335,103.695,10
0,0.9712,0.487,-11.7966,93.1588,11,,,0,0.971,0.487,-11.797,93.159,11
50,0.124,0.783,-4.443,120.055,7,,,50,0.124,0.783,-4.443,120.055,7
52.8974359,0.113221162,0.736076923,-5.877769231,114.7155299,7,,,52.897,0.113,0.736,-5.878,114.716,7
49.9,0.19548,0.8476,-9.254,106.1163,10,,,49.9,0.195,0.848,-9.254,106.116,10
52,0.000757,0.304,-2.261,139.958,5,,,52,0.001,0.304,-2.261,139.958,5
40.33333333,0.7,0.422666667,-13.42333333,120.6353333,5,,,40.333,0.7,0.423,-13.423,120.635,5
39,0.206822353,0.675529412,-14.37382353,107.6641176,10,,,39,0.207,0.676,-14.374,107.664,10
47,0.438,0.385,-10.544,186.6,9,,,47,0.438,0.385,-10.544,186.6,9
37,0.363,0.714,-8.634,108.226,0,,,37,0.363,0.714,-8.634,108.226,0
7.634615385,0.976942308,0.466134615,-19.46369231,107.3989808,7,,,7.635,0.977,0.466,-19.464,107.399,7
20.13636364,0.818090909,0.495681818,-12.793,123.323,0,,,20.136,0.818,0.496,-12.793,123.323,0
1,0.983,0.564,-11.108,86.405,8,,,1,0.983,0.564,-11.108,86.405,8
10,0.952,0.196,-12.313,142.193,7,,,10,0.952,0.196,-12.313,142.193,7
4,0.907333333,0.434333333,-15.13566667,170.7336667,0,,,4,0.907,0.434,-15.136,170.734,0
59,0.244,0.747,-11.686,124.289,9,,,59,0.244,0.747,-11.686,124.289,9
19,0.911,0.755,-12.593,204.306,0,,,19,0.911,0.755,-12.593,204.306,0
34.22222222,0.426288889,0.434,-13.50461111,115.7303333,5,,,34.222,0.426,0.434,-13.505,115.73,5
36.47712418,0.333946405,0.686901961,-11.30833333,111.8807124,0,,,36.477,0.334,0.687,-11.308,111.881,0
42,0.886,0.683,-24.961,68.968,6,,,42,0.886,0.683,-24.961,68.968,6
0,0.83425,0.38225,-13.8485,100.29775,3,,,0,0.834,0.382,-13.849,100.298,3
2.333333333,0.926666667,0.525333333,-15.743,135.8983333,5,,,2.333,0.927,0.525,-15.743,135.898,5
20,0.583,0.487,-8.363,137.989,5,,,20,0.583,0.487,-8.363,137.989,5
0,0.981,0.253,-12.822,80.889,0,,,0,0.981,0.253,-12.822,80.889,0
24.65217391,0.626086957,0.438086957,-10.35495652,117.3922174,0,,,24.652,0.626,0.438,-10.355,117.392,0
35,0.3821,0.779,-11.8645,119.558,11,,,35,0.382,0.779,-11.865,119.558,11
20.5,0.626833333,0.570666667,-7.845833333,129.788,5,,,20.5,0.627,0.571,-7.846,129.788,5
19,0.775,0.685,-6.624,119.977,7,,,19,0.775,0.685,-6.624,119.977,7
12,0.99,0.226,-19.965,98.89,5,,,12,0.99,0.226,-19.965,98.89,5
38.10714286,0.335521429,0.641607143,-13.81789286,114.4343571,2,,,38.107,0.336,0.642,-13.818,114.434,2
44,0.406,0.631,-11.402,89.927,6,,,44,0.406,0.631,-11.402,89.927,6
0,0.736111111,0.489111111,-11.31677778,106.0726667,0,,,0,0.736,0.489,-11.317,106.073,0
30.18181818,0.285111386,0.455477273,-10.52086364,115.1557045,0,,,30.182,0.285,0.455,-10.521,115.156,0
27.83783784,0.689881081,0.336054054,-12.21389189,107.1440541,0,,,27.838,0.69,0.336,-12.214,107.144,0
34,0.771,0.414,-17.827,108.59,0,,,34,0.771,0.414,-17.827,108.59,0
0,0.958,0.544,-11.167,103.595,9,,,0,0.958,0.544,-11.167,103.595,9
33.06666667,0.240453333,0.5152,-10.5022,110.814,2,,,33.067,0.24,0.515,-10.502,110.814,2
0,0.977,0.208,-11.127,170.492,4,,,0,0.977,0.208,-11.127,170.492,4
21,0.775,0.83,-10.901,107.262,2,,,21,0.775,0.83,-10.901,107.262,2
6,0.968,0.572,-22.129,137.009,9,,,6,0.968,0.572,-22.129,137.009,9
43.5,0.479,0.39,-11.194,176.08,2,,,43.5,0.479,0.39,-11.194,176.08,2
0,0.995,0.318,-15.914,113.897,4,,,0,0.995,0.318,-15.914,113.897,4
35.95964126,0.284969238,0.550147982,-12.01500448,117.8733767,9,,,35.96,0.285,0.55,-12.015,117.873,9
42.5,0.1191,0.619,-8.933,133.1715,1,,,42.5,0.119,0.619,-8.933,133.172,1
0,0.242,0.395,-6.904,136.018,4,,,0,0.242,0.395,-6.904,136.018,4
52.54545455,0.471090909,0.528,-5.951818182,104.5116364,7,,,52.545,0.471,0.528,-5.952,104.512,7
50,0.171,0.636,-1.913,101.835,4,,,50,0.171,0.636,-1.913,101.835,4
48.73333333,0.307974667,0.641266667,-3.783266667,150.2519333,10,,,48.733,0.308,0.641,-3.783,150.252,10
47,0.818,0.419,-9.189,102.346,5,,,47,0.818,0.419,-9.189,102.346,5
50,0.216,0.75,-10.271,112.264,4,,,50,0.216,0.75,-10.271,112.264,4
35,0.76,0.342,-16.442,96.552,11,,,35,0.76,0.342,-16.442,96.552,11
